"","SPECIES","GENERA","EPITHET","FAMILY","PHYLUM","EPILIST","FLORA","DATASET_CLASSIFICATION","BIOME","COUNTRY","WWF_ECOREGION"
"904","Plectrophora iridifolia","Plectrophora","iridifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"905","Pleiochiton blepharodes","Pleiochiton","blepharodes","Melastomataceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 7, 11"
"906","Pleopeltis astrolepis","Pleopeltis","astrolepis","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Bolivia; Brazil; Paraguay","6, 7, 8, 9, 11, 12, 13, 20, 23, 24"
"907","Pleopeltis ballivianii","Pleopeltis","ballivianii","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Bolivia","13"
"908","Pleopeltis burchellii","Pleopeltis","burchellii","Polypodiaceae","Pteridophyte","Unknown","Epiphyte","All","Caatinga; Cerrado; Edge","Brazil; Paraguay","5, 7, 11, 20, 23"
"909","Pleopeltis desvauxii","Pleopeltis","desvauxii","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"910","Pleopeltis furcata","Pleopeltis","furcata","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 7, 11"
"911","Pleopeltis gyroflexa","Pleopeltis","gyroflexa","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7, 8, 23, 24"
"912","Pleopeltis hirsutissima","Pleopeltis","hirsutissima","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Bolivia; Brazil; Paraguay","1, 3, 5, 6, 7, 9, 11, 12, 13, 16, 20"
"913","Pleopeltis macrocarpa","Pleopeltis","macrocarpa","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco","Argentina; Bolivia; Brazil","5, 6, 7, 8, 9, 11, 13, 23, 24, 25"
"914","Pleopeltis minima","Pleopeltis","minima","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Bolivia; Brazil; Paraguay","1, 6, 7, 11, 12, 13, 14, 16, 21, 22, 23, 25"
"915","Pleopeltis monoides","Pleopeltis","monoides","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","7, 11"
"916","Pleopeltis pinnatifida","Pleopeltis","pinnatifida","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Argentina","13, 14, 25"
"917","Pleopeltis pleopeltidis","Pleopeltis","pleopeltidis","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado; Chaco","Argentina; Brazil","11, 16, 25"
"918","Pleopeltis pycnocarpa","Pleopeltis","pycnocarpa","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Argentina","13, 25"
"919","Pleopeltis sp.1","Pleopeltis",NA,"Polypodiaceae","Pteridophyte",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"920","Pleopeltis sp.2","Pleopeltis",NA,"Polypodiaceae","Pteridophyte",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"921","Pleopeltis tweedieana","Pleopeltis","tweedieana","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Argentina; Bolivia","10, 13, 14, 15, 25"
"922","Acianthera mantiquyrana","Acianthera","mantiquyrana","Orchidaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","10, 13, 25"
"923","Pleurothallis ruscifolia","Pleurothallis","ruscifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7, 8, 24"
"924","Pleurothallis sp.","Pleurothallis",NA,"Orchidaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"925","Polycycnis muscifera","Polycycnis","muscifera","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"926","Polygala sp.","Polygala",NA,"Polygalaceae","Angiospermae",NA,NA,"Paper exclusive","Edge","Brazil","20"
"927","Polyphlebium angustatum","Polyphlebium","angustatum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado; Chaco","Argentina; Brazil; Paraguay","9, 10, 11, 16, 25"
"928","Polyphlebium diaphanum","Polyphlebium","diaphanum","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Edge","Brazil; Paraguay","7, 9, 11, 20"
"929","Polyphlebium hymenophylloides","Polyphlebium","hymenophylloides","Hymenophyllaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 9, 11"
"930","Polystachya caespitosa","Polystachya","caespitosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"931","Polystachya caracasana","Polystachya","caracasana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"932","Polystachya concreta","Polystachya","concreta","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Brazil","1, 4, 5, 6, 7, 8, 9, 11, 12, 18, 19, 21, 23, 24, 25"
"933","Polystachya foliosa","Polystachya","foliosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco; Pantanal","Brazil; Paraguay","1, 7, 8, 9, 11, 12, 16, 21, 24"
"934","Polystachya paulensis","Polystachya","paulensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"935","Polystachya sp.","Polystachya",NA,"Orchidaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"936","Polytaenium guayanense","Polytaenium","guayanense","Pteridaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"937","Polytaenium lineatum","Polytaenium","lineatum","Pteridaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Argentina; Bolivia; Brazil","6, 7, 10, 11, 13"
"938","Portea petropolitana","Portea","petropolitana","Bromeliaceae","Angiospermae","Unknown","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7"
"939","Portulaca hirsutissima","Portulaca","hirsutissima","Portulacaceae","Angiospermae","Unknown","Rupicolous; Terrestrial","Paper exclusive accidental","Cerrado","Brazil","11"
"940","Prescottia lancifolia","Prescottia","lancifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"941","Prescottia oligantha","Prescottia","oligantha","Orchidaceae","Angiospermae","Unknown","Rupicolous; Terrestrial","Paper exclusive accidental","Cerrado","Brazil","11"
"942","Promenaea stapelioides","Promenaea","stapelioides","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 7, 9, 11"
"943","Prosthechea aemula","Prosthechea","aemula","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 7, 8, 11"
"944","Prosthechea allemanii","Prosthechea","allemanii","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","7, 11"
"945","Prosthechea allemanoides","Prosthechea","allemanoides","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","9, 11"
"946","Prosthechea bulbosa","Prosthechea","bulbosa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 7, 11"
"947","Prosthechea calamaria","Prosthechea","calamaria","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 6, 9, 11"
"948","Prosthechea crassilabia","Prosthechea","crassilabia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11"
"949","Prosthechea glumacea","Prosthechea","glumacea","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"950","Prosthechea pachysepala","Prosthechea","pachysepala","Orchidaceae","Angiospermae","Unknown","Epiphyte","All","Cerrado","Brazil","1, 6, 9, 11"
"951","Prosthechea vespa","Prosthechea","vespa","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","1, 6, 7, 8, 9, 11, 24"
"952","Pseudolaelia cipoensis","Pseudolaelia","cipoensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6"
"953","Pseudolaelia geraensis","Pseudolaelia","geraensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","6"
"954","Pseudolaelia irwiniana","Pseudolaelia","irwiniana","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","9, 11"
"955","Pseudolaelia vellozicola","Pseudolaelia","vellozicola","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 7, 9, 11"
"956","Psilotum nudum","Psilotum","nudum","Psilotaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Brazil; Paraguay","1, 5, 6, 7, 11, 12, 13, 16, 21"
"957","Psychotria sp.","Psychotria",NA,"Rubiaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"958","Pterocaulon alopecuroides","Pterocaulon","alopecuroides","Asteraceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"959","Pterocaulon lanatum","Pterocaulon","lanatum","Asteraceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"960","Pyrrosia angustata","Pyrrosia","angustata","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Cerrado; Chaco","Brazil; Paraguay","11, 16"
"961","Racinaea aeris-incola","Racinaea","aeris-incola","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 9, 11"
"962","Racinaea spiculosa","Racinaea","spiculosa","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","5, 7, 8, 9, 24"
"963","Rhipsalis aculeata","Rhipsalis","aculeata","Cactaceae","Angiospermae","Epiphyte","Unknown","Paper exclusive accidental","Chaco","Argentina","13, 16"
"964","Rhipsalis baccifera","Rhipsalis","baccifera","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco; Pantanal; Edge","Argentina; Bolivia; Brazil; Paraguay","1, 5, 6, 7, 8, 11, 13, 16, 20, 21, 22, 23, 24, 25"
"965","Rhipsalis cereuscula","Rhipsalis","cereuscula","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco; Edge","Brazil; Paraguay","1, 7, 11, 16, 20"
"966","Rhipsalis crispata","Rhipsalis","crispata","Cactaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga","Brazil","6"
"967","Rhipsalis elliptica","Rhipsalis","elliptica","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","6, 9, 11"
"968","Rhipsalis floccosa","Rhipsalis","floccosa","Cactaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Argentina; Bolivia; Brazil; Paraguay","1, 5, 6, 7, 9, 10, 11, 13, 16, 23, 25"
"969","Rhipsalis lindbergiana","Rhipsalis","lindbergiana","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 6, 7, 11, 23"
"970","Rhipsalis lorentziana","Rhipsalis","lorentziana","Cactaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","25"
"971","Rhipsalis pentaptera","Rhipsalis","pentaptera","Cactaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Chaco","Argentina","25"
"972","Rhipsalis pilocarpa","Rhipsalis","pilocarpa","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco","Argentina; Brazil","11, 16"
"973","Rhipsalis puniceodiscus","Rhipsalis","puniceodiscus","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"974","Rhipsalis russellii","Rhipsalis","russellii","Cactaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 6, 7, 9, 11"
"975","Rhipsalis shaferi","Rhipsalis","shaferi","Cactaceae","Angiospermae","Unknown","Epiphyte","All","Cerrado; Chaco","Argentina; Brazil; Paraguay","11, 16"
"976","Rhipsalis sp.1","Rhipsalis",NA,"Cactaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"977","Rhipsalis sp.2","Rhipsalis",NA,"Cactaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"978","Rodriguezia bahiensis","Rodriguezia","bahiensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"979","Rodriguezia brachystachys","Rodriguezia","brachystachys","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"980","Rodriguezia bracteata","Rodriguezia","bracteata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"981","Rodriguezia decora","Rodriguezia","decora","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Edge","Brazil","1, 11, 20"
"982","Rodriguezia lanceolata","Rodriguezia","lanceolata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"983","Rodriguezia obtusifolia","Rodriguezia","obtusifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","5, 7"
"984","Rodriguezia sp.","Rodriguezia",NA,"Orchidaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"985","Rumohra adiantiformis","Rumohra","adiantiformis","Dryopteridaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Brazil; Paraguay","5, 6, 7, 8, 9, 11, 12, 13, 14, 16"
"986","Ruprechtia laxiflora","Ruprechtia","laxiflora","Polygonaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Caatinga","Brazil","7"
"987","Sacoila lanceolata","Sacoila","lanceolata","Orchidaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Chaco","Argentina","16"
"988","Sanderella discolor","Sanderella","discolor","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado; Chaco","Argentina; Brazil","7, 10, 11, 13, 25"
"989","Sansonia bradei","Sansonia","bradei","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"990","Scaphyglottis fusiformis","Scaphyglottis","fusiformis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga","Brazil","7, 8, 24"
"991","Scaphyglottis graminifolia","Scaphyglottis","graminifolia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","24"
"992","Scaphyglottis livida","Scaphyglottis","livida","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","8, 11"
"993","Scaphyglottis modesta","Scaphyglottis","modesta","Orchidaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado","Brazil","5, 7, 9, 11"
"994","Scaphyglottis prolifera","Scaphyglottis","prolifera","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 11, 18"
"995","Scaphyglottis sickii","Scaphyglottis","sickii","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11, 24"
"996","Schlumbergera gaertneri","Schlumbergera","gaertneri","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"997","Schwannia sp.","Schwannia",NA,"Malpighiaceae","Angiospermae",NA,NA,"Paper exclusive","Edge","Brazil","20"
"998","Schwartzia brasiliensis","Schwartzia","brasiliensis","Marcgraviaceae","Angiospermae","Hemiepiphyte","Hemiepiphyte; Terrestrial","All","Caatinga; Cerrado","Brazil","1, 5, 7, 11, 23, 24"
"999","Scuticaria bahiensis","Scuticaria","bahiensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","7"
"1000","Scuticaria hadwenii","Scuticaria","hadwenii","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"1001","Sebastiania sp.","Sebastiania",NA,"Euphorbiaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"1002","Selaginella erythropus","Selaginella","erythropus","Selaginellaceae","Pteridophyte","Unknown","Epiphyte; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal","Bolivia; Brazil; Paraguay","6, 7, 8, 11, 12, 16, 17, 18, 21"
"1003","Selaginella flagellata","Selaginella","flagellata","Selaginellaceae","Pteridophyte","Unknown","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","7, 11"
"1004","Selaginella flexuosa","Selaginella","flexuosa","Selaginellaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Pantanal","Brazil","6, 7, 9, 11, 12"
"1005","Selaginella producta","Selaginella","producta","Selaginellaceae","Pteridophyte","Epiphyte","Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","6, 7, 11, 24"
"1006","Selaginella saltuicola","Selaginella","saltuicola","Selaginellaceae","Pteridophyte","Unknown","Epiphyte; Rupicolous","All","Cerrado","Brazil","11"
"1007","Selenicereus anthonyanus","Selenicereus","anthonyanus","Cactaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"1008","Selenicereus coccineus","Selenicereus","coccineus","Cactaceae","Angiospermae","Unknown","Unknown","Paper exclusive accidental","Edge","Bolivia","20"
"1009","Selenicereus setaceus","Selenicereus","setaceus","Cactaceae","Angiospermae","Epiphyte","Hemiepiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco; Pantanal","Argentina; Brazil; Paraguay","5, 6, 7, 8, 11, 16, 21, 23, 24"
"1010","Senecio brasiliensis","Senecio","brasiliensis","Asteraceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"1011","Senecio leptolobus","Senecio","leptolobus","Asteraceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"1012","Senna occidentali","Senna","occidentali","Fabaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"1013","Serjania sp.","Serjania",NA,"Sapindaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga; Edge","Brazil","7, 20"
"1014","Serpocaulon adnatum","Serpocaulon","adnatum","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","1, 7"
"1015","Serpocaulon catharinae","Serpocaulon","catharinae","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","1, 3, 5, 6, 7, 9, 11, 16, 24"
"1016","Serpocaulon fraxinifolium","Serpocaulon","fraxinifolium","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Hemiepiphyte","All","Caatinga; Cerrado; Chaco","Argentina; Brazil","1, 5, 6, 7, 9, 11, 13"
"1017","Serpocaulon gilliesii","Serpocaulon","gilliesii","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Chaco","Argentina","10, 13, 25"
"1018","Serpocaulon laetum","Serpocaulon","laetum","Polypodiaceae","Pteridophyte","Epiphyte","Hemiepiphyte; Terrestrial","All","Cerrado; Chaco","Brazil; Paraguay","6, 9, 11, 16"
"1019","Serpocaulon lasiopus","Serpocaulon","lasiopus","Polypodiaceae","Pteridophyte","Epiphyte","Unknown","All","Cerrado; Chaco","Argentina; Brazil","10, 11, 13"
"1020","Serpocaulon levigatum","Serpocaulon","levigatum","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Chaco","Paraguay","16"
"1021","Serpocaulon loriceum","Serpocaulon","loriceum","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte","All","Cerrado; Chaco","Argentina; Brazil; Paraguay","9, 11, 13, 16"
"1022","Serpocaulon menisciifolium","Serpocaulon","menisciifolium","Polypodiaceae","Pteridophyte","Epiphyte","Epiphyte; Rupicolous","All","Cerrado","Brazil","11"
"1023","Serpocaulon sp.","Serpocaulon",NA,"Polypodiaceae","Pteridophyte",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"1024","Sida sp.","Sida",NA,"Malvaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","7"
"1025","Sinningia schiffneri","Sinningia","schiffneri","Gesneriaceae","Angiospermae","Unknown","Rupicolous; Terrestrial","Paper exclusive accidental","Cerrado","Brazil","11"
"1026","Sinningia sp.","Sinningia",NA,"Gesneriaceae","Angiospermae",NA,NA,"Paper exclusive","Cerrado","Brazil","11"
"1027","Sobralia sessilis","Sobralia","sessilis","Orchidaceae","Angiospermae","Unknown","Epiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","5, 7, 11, 23"
"1028","Solandra grandiflora","Solandra","grandiflora","Solanaceae","Angiospermae","Epiphyte","Hemiepiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado","Brazil","7, 8, 11"
"1029","Solanum americanum","Solanum","americanum","Solanaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"1030","Solanum sp.1","Solanum",NA,"Solanaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","6"
"1031","Solanum sp.2","Solanum",NA,"Solanaceae","Angiospermae",NA,NA,"Paper exclusive","Caatinga","Brazil","6"
"1032","Solenidium lunatum","Solenidium","lunatum","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","Paper exclusive accidental","Cerrado","Brazil","11"
"1033","Souroubea guianensis","Souroubea","guianensis","Marcgraviaceae","Angiospermae","Hemiepiphyte","Hemiepiphyte","All","Caatinga; Cerrado","Brazil","7, 11, 24"
"1034","Spathiphyllum humboldtii","Spathiphyllum","humboldtii","Araceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Cerrado","Brazil","11"
"1035","Specklinia grobyi","Specklinia","grobyi","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 7, 11, 23"
"1036","Specklinia hastulata","Specklinia","hastulata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","11"
"1037","Specklinia marginalis","Specklinia","marginalis","Orchidaceae","Angiospermae","Unknown","Epiphyte","All","Caatinga; Cerrado","Brazil","5, 6, 9, 11"
"1038","Stanhopea lietzei","Stanhopea","lietzei","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado; Chaco","Argentina; Brazil","9, 11, 13"
"1039","Stelis aprica","Stelis","aprica","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 9"
"1040","Stelis argentata","Stelis","argentata","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga; Cerrado","Brazil","7, 8, 9, 11, 24"
"1041","Stelis intermedia","Stelis","intermedia","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","6, 11"
"1042","Stelis parvula","Stelis","parvula","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Caatinga","Brazil","5, 7"
"1043","Stenospermation spruceanum","Stenospermation","spruceanum","Araceae","Angiospermae","Epiphyte","Epiphyte; Hemiepiphyte","All","Caatinga","Brazil","7"
"1044","Strychnos brasiliensis","Strychnos","brasiliensis","Loganiaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"1045","Stylosanthes capitata","Stylosanthes","capitata","Faboidae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"1046","Syagrus coronata","Syagrus","coronata","Arecaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Caatinga","Brazil","6, 7"
"1047","Syngonium angustatum","Syngonium","angustatum","Araceae","Angiospermae","Unknown","Hemiepiphyte","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","7, 11, 16"
"1048","Syngonium podophyllum","Syngonium","podophyllum","Araceae","Angiospermae","Unknown","Hemiepiphyte","Paper exclusive accidental","Cerrado","Brazil","1"
"1049","Tacinga inamoena","Tacinga","inamoena","Cactaceae","Angiospermae","Unknown","Rupicolous; Terrestrial","Paper exclusive accidental","Caatinga","Brazil","7"
"1050","Tacinga palmadora","Tacinga","palmadora","Cactaceae","Angiospermae","Unknown","Rupicolous; Terrestrial","Paper exclusive accidental","Caatinga","Brazil","7"
"1051","Temnadenia violacea","Temnadenia","violacea","Apocynaceae","Angiospermae","Unknown","Terrestrial","Paper exclusive accidental","Edge","Brazil","20"
"1052","Tetrapterys sp.","Tetrapterys",NA,"Malpighiaceae","Angiospermae",NA,NA,"Paper exclusive","Edge","Brazil","20"
"1053","Thaumatophyllum bipinnatifidum","Thaumatophyllum","bipinnatifidum","Araceae","Angiospermae","Epiphyte","Hemiepiphyte; Rupicolous; Terrestrial","All","Caatinga; Cerrado; Chaco","Brazil; Paraguay","1, 5, 6, 7, 9, 11, 16"
"1054","Thaumatophyllum solimoesense","Thaumatophyllum","solimoesense","Araceae","Angiospermae","Epiphyte","Hemiepiphyte; Terrestrial","All","Cerrado","Brazil","11"
"1055","Thoracocarpus bissectus","Thoracocarpus","bissectus","Cyclanthaceae","Pteridophyte","Epiphyte","Hemiepiphyte","All","Caatinga; Cerrado","Brazil","7, 11"
"1056","Thysanoglossa organensis","Thysanoglossa","organensis","Orchidaceae","Angiospermae","Epiphyte","Epiphyte","All","Cerrado","Brazil","9"
"1057","Tillandsia aeranthos","Tillandsia","aeranthos","Bromeliaceae","Angiospermae","Epiphyte","Epiphyte; Rupicolous","All","Cerrado; Chaco","Argentina; Brazil; Paraguay","11, 13, 16, 25"
"1058","Tillandsia aizoides","Tillandsia","aizoides","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","13, 15, 16, 25"
"1059","Tillandsia albertiana","Tillandsia","albertiana","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","13, 25"
"1060","Tillandsia andicola","Tillandsia","andicola","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","13"
"1061","Tillandsia angulosa","Tillandsia","angulosa","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","15"
"1062","Tillandsia argentina","Tillandsia","argentina","Bromeliaceae","Angiospermae","Epiphyte","Unknown","All","Chaco","Argentina","13, 14, 15, 25"
